0.025 3.799 57
57
0.025	2.151
0.028	2.322
0.032	2.493
0.035	2.663
0.038	2.834
0.041	3.005
0.044	3.177
0.047	3.350
0.051	3.524
0.057	3.873
0.063	4.221
0.070	4.567
0.076	4.910
0.082	5.248
0.089	5.581
0.101	6.230
0.114	6.852
0.127	7.447
0.139	8.016
0.152	8.560
0.165	9.079
0.177	9.576
0.190	10.050
0.203	10.510
0.215	10.950
0.228	11.370
0.253	12.170
0.285	13.090
0.317	13.940
0.348	14.730
0.380	15.460
0.412	16.150
0.443	16.800
0.475	17.410
0.507	17.980
0.570	19.040
0.633	19.990
0.696	20.850
0.760	21.620
0.823	22.330
0.886	22.970
1.013	24.080
1.140	24.990
1.266	25.750
1.393	26.380
1.520	26.900
1.646	27.320
1.773	27.660
1.899	27.930
2.026	28.150
2.153	28.380
2.279	28.480
2.533	28.480
2.849	28.500
3.166	28.400
3.482	28.200
3.799	27.930
