0.025 3.799 57
57
0.025	1.812
0.028	1.956
0.032	2.104
0.035	2.256
0.038	2.412
0.041	2.572
0.044	2.734
0.047	2.899
0.051	3.065
0.057	3.400
0.063	3.735
0.070	4.068
0.076	4.397
0.082	4.720
0.089	5.035
0.101	5.640
0.114	6.209
0.127	6.741
0.139	7.238
0.152	7.703
0.165	8.137
0.177	8.543
0.190	8.925
0.203	9.284
0.215	9.623
0.228	9.943
0.253	10.540
0.285	11.210
0.317	11.810
0.348	12.360
0.380	12.870
0.412	13.340
0.443	13.780
0.475	14.200
0.507	14.590
0.570	15.320
0.633	15.980
0.696	16.580
0.760	17.130
0.823	17.630
0.886	18.100
1.013	18.910
1.140	19.600
1.266	20.170
1.393	20.650
1.520	21.040
1.646	21.360
1.773	21.620
1.899	21.830
2.026	21.990
2.153	22.260
2.279	22.440
2.533	22.580
2.849	22.660
3.166	22.630
3.482	22.510
3.799	22.330
