0.025 4.545 59
59
0.025	4.045
0.027	4.257
0.030	4.462
0.032	4.662
0.036	5.043
0.041	5.398
0.045	5.730
0.050	6.041
0.055	6.332
0.059	6.605
0.064	6.863
0.068	7.106
0.073	7.336
0.077	7.555
0.082	7.763
0.091	8.150
0.102	8.588
0.114	8.982
0.125	9.339
0.136	9.664
0.148	9.961
0.159	10.230
0.170	10.480
0.182	10.710
0.205	11.110
0.227	11.450
0.250	11.740
0.273	11.980
0.295	12.190
0.318	12.350
0.364	12.610
0.409	12.770
0.455	12.870
0.500	12.920
0.545	12.930
0.591	12.920
0.636	12.880
0.682	12.820
0.727	12.740
0.773	12.660
0.818	12.570
0.909	12.380
1.023	12.110
1.136	11.840
1.250	11.570
1.364	11.300
1.477	11.040
1.591	10.790
1.705	10.540
1.818	10.300
2.045	9.882
2.273	9.521
2.500	9.121
2.727	8.784
2.955	8.470
3.182	8.176
3.636	7.643
4.091	7.172
4.545	6.753
