0.010 4.167 68
68
0.010	0.241
0.011	0.260
0.013	0.279
0.014	0.300
0.015	0.320
0.016	0.341
0.017	0.362
0.019	0.404
0.021	0.447
0.023	0.490
0.025	0.532
0.027	0.574
0.029	0.616
0.033	0.697
0.038	0.777
0.042	0.854
0.046	0.929
0.050	1.001
0.054	1.072
0.058	1.140
0.063	1.207
0.067	1.272
0.071	1.335
0.075	1.397
0.083	1.516
0.094	1.656
0.104	1.789
0.115	1.914
0.125	2.032
0.135	2.144
0.146	2.250
0.156	2.350
0.167	2.445
0.188	2.620
0.208	2.777
0.229	2.919
0.250	3.047
0.271	3.164
0.292	3.269
0.333	3.453
0.375	3.606
0.417	3.734
0.458	3.842
0.500	3.934
0.542	4.011
0.583	4.076
0.625	4.132
0.667	4.178
0.708	4.217
0.750	4.250
0.833	4.298
0.938	4.334
1.042	4.350
1.146	4.351
1.250	4.340
1.354	4.322
1.458	4.297
1.563	4.268
1.667	4.235
1.875	4.163
2.083	4.099
2.292	4.030
2.500	3.947
2.708	3.869
2.917	3.792
3.333	3.645
3.750	3.510
4.167	3.386
