0.010 5.362 72
72
0.010	0.429
0.011	0.446
0.012	0.462
0.013	0.480
0.013	0.498
0.014	0.517
0.016	0.556
0.018	0.596
0.020	0.638
0.021	0.680
0.023	0.722
0.025	0.765
0.029	0.850
0.032	0.935
0.036	1.018
0.039	1.099
0.043	1.179
0.046	1.257
0.050	1.332
0.054	1.406
0.057	1.477
0.061	1.547
0.064	1.615
0.071	1.745
0.080	1.899
0.089	2.044
0.098	2.180
0.107	2.310
0.116	2.433
0.125	2.550
0.134	2.662
0.143	2.769
0.161	2.968
0.179	3.151
0.197	3.319
0.214	3.474
0.232	3.617
0.250	3.749
0.286	3.983
0.322	4.184
0.357	4.357
0.393	4.506
0.429	4.634
0.465	4.746
0.500	4.842
0.536	4.926
0.572	5.000
0.608	5.063
0.643	5.119
0.715	5.209
0.804	5.291
0.894	5.347
0.983	5.382
1.072	5.402
1.162	5.410
1.251	5.409
1.340	5.399
1.430	5.384
1.608	5.338
1.787	5.280
1.966	5.213
2.145	5.172
2.323	5.111
2.502	5.037
2.859	4.891
3.217	4.742
3.574	4.595
3.932	4.453
4.289	4.317
4.647	4.189
5.004	4.068
5.362	3.954
