0.025 3.799 57
57
0.025	1.047
0.028	1.135
0.032	1.224
0.035	1.315
0.038	1.408
0.041	1.503
0.044	1.600
0.047	1.698
0.051	1.798
0.057	1.999
0.063	2.204
0.070	2.409
0.076	2.613
0.082	2.815
0.089	3.015
0.101	3.404
0.114	3.777
0.127	4.131
0.139	4.467
0.152	4.785
0.165	5.085
0.177	5.369
0.190	5.639
0.203	5.894
0.215	6.137
0.228	6.368
0.253	6.798
0.285	7.287
0.317	7.730
0.348	8.136
0.380	8.511
0.412	8.861
0.443	9.189
0.475	9.499
0.507	9.792
0.570	10.330
0.633	10.830
0.696	11.280
0.760	11.700
0.823	12.090
0.886	12.450
1.013	13.100
1.140	13.670
1.266	14.150
1.393	14.580
1.520	14.950
1.646	15.270
1.773	15.540
1.899	15.770
2.026	15.980
2.153	16.230
2.279	16.420
2.533	16.660
2.849	16.860
3.166	16.950
3.482	16.950
3.799	16.900
