0.010 4.545 69
69
0.010	0.267
0.011	0.286
0.013	0.306
0.014	0.327
0.015	0.348
0.016	0.370
0.017	0.392
0.018	0.414
0.020	0.458
0.023	0.503
0.025	0.547
0.027	0.590
0.030	0.632
0.032	0.673
0.036	0.751
0.041	0.825
0.045	0.895
0.050	0.960
0.055	1.022
0.059	1.081
0.064	1.137
0.068	1.191
0.073	1.242
0.077	1.291
0.082	1.338
0.091	1.426
0.102	1.529
0.114	1.623
0.125	1.712
0.136	1.794
0.148	1.872
0.159	1.945
0.170	2.014
0.182	2.079
0.205	2.200
0.227	2.309
0.250	2.408
0.273	2.497
0.295	2.579
0.318	2.653
0.364	2.784
0.409	2.893
0.455	2.985
0.500	3.062
0.545	3.128
0.591	3.182
0.636	3.228
0.682	3.266
0.727	3.297
0.773	3.323
0.818	3.344
0.909	3.372
1.023	3.390
1.136	3.392
1.250	3.383
1.364	3.366
1.477	3.343
1.591	3.315
1.705	3.285
1.818	3.253
2.045	3.191
2.273	3.132
2.500	3.058
2.727	2.989
2.955	2.921
3.182	2.855
3.636	2.731
4.091	2.619
4.545	2.516
